Year,Funder,Number,Role,Where
2011,Canada Research Chair Programme,1,External Reviewer,Canada
2011,Fonds de recherche du Quebec Nature et technologies,1,External Reviewer,Canada
2012,Fonds Wetenschappelijk Onderzoek - Vlaanderen,1,External Reviewer,Canada
2010,Hong Kong Health and Health Services Research Fund,1,External Reviewer,Canada
2005,Natural Science and Engineering Research Council,1,External Reviewer,Canada
2011,Natural Science and Engineering Research Council,1,External Reviewer,Canada
2015,Swiss National Science Foundation ,1,External Reviewer,Switzerland
2011,Swiss National Science Foundation ,1,External Reviewer,Switzerland
2011,University of California Davis Sustainable Transportation Center,1,External Reviewer,USA
2012,University of California Davis Sustainable Transportation Center,1,External Reviewer,USA
2005,US National Science Foundation ,1,External Reviewer,USA
2007,US National Science Foundation ,1,External Reviewer,USA
2008,US National Science Foundation ,1,External Reviewer,USA
2009,US National Science Foundation ,2,External Reviewer,USA
2011,US National Science Foundation ,1,External Reviewer,USA
2012,US National Science Foundation ,1,External Reviewer,USA
2013,US National Science Foundation ,1,External Reviewer,USA
2022,European Research Council,9,Panel Member,European Union
2024," Executive Agency for Higher Education, Research, Development and Innovation Funding",5,External Reviewer,Romania
